subject,verb,object
detran-sp,prometer enviar,habilitação impresso de graça..
detran-sp,usar,página oficial
detrans de são paulo,não ter,cnh social
deu,falar sentir,paz
deu,nunca fechar,porta
deu,odeiar,bicha
deu,receber,pai amado
deu,ser livrar,servo
deus,abençoar,estado unido
deus,abençoar,lindo família
deus,alcançar,coração
deus,castigar,país
deus,conceder,inteligência
deus,confortar,família
deus,confortir,família
deus,confortir,famílias...
deus,confortir,querido família
deus,conservar assim,dignidade escolher cedo
deus,criar,campo autor:renon de viola intérprete:renon de viola música:amor de sertanejo autor:roney rodrigues de souza autor:joão soares de queiroz filho
deus,criar,mundo
deus,dar,força
deus,dar dar,novo vida
deus,então saber,momento certo pôr
deus,fazer,milagre
deus,foi não possuar mais,célula cancerígeno
deus,querer,sacrifício total
deus,receber,bjs
deus,salvar,czar
deus,salvar,rei
deus,ser agradecer mais,graca
deus,tirar,vontade usar
deus,trazer,uma herança de senhor
deus bom,comemorar,cantor
deus malabarista,fazer mais,faculdade
deusdina,não ter,poder liberar
devagarzinho,ocupar,espaço
devanil,montar,empresa a 14 bi
devanil,ocupar,diretoria geral de câmpus
devanil,ser ter,bom antecedente
devastador escândalo de corrupção em torno de odebrecht umas de gigante brasileiro de construção,cortar,cabeça de líder latino- americano
devedor,pagar,dívida
devedor,tentar livrar,imóvel
devedor,ter,30 dia
devedor,ter,direito a 90 % de desconto sobre valor
devido processo legal,provar,inocência
deville prime salvador,montar,programação para réveillon felicità 2018
devolução de valor em imóvel,fazer,parte de colaboração de ex vereador
devoto,contemplar fazer agradecer,favor
devoto de são francisco,lá encontrar projetar,história
devoto de são josé pai de jesus em terra,realizar,procissão por rua de belém
deyvid,negar,envolvimento com crime
dez,bater,critério de pesquisa
dez,manifestar,voto por manutenção de prisão
dez,procurar,cuidado médico
dez,virar,réu
dez banco público de capital,recolher,90 % de leite materno de df.
dez cativo de minoria rohingyo,viram cavar,vala
dez cativo de minoria rohingyo,viram cavar,vizinho budista
dez deles,partir chegar ligar,orlando
dez deles,ter orbitar,zona habitável de estrela
dez entre 60 família de povoado,receber,tipo de auxílio
dez estado,além adaptar,ponteiro goiá
dez ex presidente,confirmar,presença em evento
dez mandamento,ultrapassar,tropa de elite 2
dez pessoa,já prestar,depoimento
dez plano,concentrar,80 % de déficit de sistema
dez profissional de globo,acompanhar,visita de presidente
dez vencedores,além receber,mesmo assinatura
dez vírus,causar,mesmo doença
dezena,apresentar,problema respiratório
dezena,escrever popularizar,hashtag #demitamelizabethlauten
dezena,sofrer,dificuldade respirar
dezena,ter,problema respiratório
dezena de agente penitenciário,invadir,plenário
dezena de agente penitenciário,ocupar,recinto
dezena de bloco,animar,cidade de região
dezena de combatente,conseguir evitar saquear,cidade
dezena de familiar,acompanhar,cerimônia
dezena de família,já deixar,residência
dezena de homem armado,invadir depois sequestrar,ambulância
dezena de imigrante,cruzar,fronteira com roraima
dezena de manifestante,rasgar diante,cópia de veredicto de corte
dezena de manifestante,reunir fazer,churrasco
dezena de morador,compartilhar,gravação de fenômeno
dezena de motorista russo,capturar jogar,vídeo
dezena de opositor de presidente nicola maduro,bloquear,rodovia
dezena de parente de detento,foram tentar obter,informação
dezena de país europeu,além anunciar,expulsão de 140 representante russo
dezena de pessoa,bloquear,acesso a avenida de rotatória de praça
dezena de pessoa,fazer,protesto
dezena de policial,bloquear,acesso a consulado russo em cidade
dezena de projeto,visar expandir,criminalização de aborto
dezena de promotor de justiça,lançar,novo manifesto
dezena de vítima,aliás exigir,lei severo
dezena de índio,levantar arremessar,pau
dezenas de milhares de zimbabuanos,inundar,rua de harare
dezesseis pessoa,buscar,auxílio médico
dezoito de 26 bebê com mau formação,apresentar,diagnóstico de microcefalia
df,ainda deixar fora,17 % de população
df,começar fechar,ano
df,contratar,fundação cacique cobra coral
df,deixar,limite prudencial de lei de responsabilidade fiscal lrf
df,querer gastar,"r$ 54,6 milhões"
dfprev,gerar,r$ 60 milhões
dfprev,registrar abrigar,servidor com idade médio de 36 ano
dfprev,ter,r$ 45 bilhões
dftrans,colocar,11 ônibus
dh,instaurar,inquérito
dhbf,abrir,inquérito
dhione de congo pb,mostrar,criancine curadoria devyd santo menino leão dir.
dhpp,instaurar ouvir encaminhar,arma de pm
dhpp,investigar,caso
di maio,além anunciar,retirada deste
dia,achar,foto
dia,começa trazer,ar quente de centro de brasil
dia,concentrar,grande parte de debate sobre tecnologia de informação
dia,eram,fadinha lésbico
dia,haver,tiroteio
dia,já ter,afastamento de aécio
dia,já ter,lista de aprovados de fies
dia,pedir,calma
dia,representar,manutenção de estratégia de negócio
dia,também ter,repercussão de suposto notícia mandar
dia,ter,revés
dia chuvoso em cidade de phoenix,não mudar,fato ter
dia d de vacinação contra febre amarelo,imunizar,"8,7 mil"
dia d de vacinação contra febre amarelo,imunizar,"8,7 mil morador"
dia de cacau,relembrar,importância de proteção de cacaueiro
dia de confilto em comunidade de rio,provocar,boato sobre realização de rock in rio
dia de rebeldia nacional,celebrar,primeiro ação armado
dia em mercado de câmbio de brasil,ser predominar,clima de incerteza
dia especial curtar,chegar trazer,listinha com horário de sessão em cinema de maceió
dia internacional de mulher,trazer,condição feminino em mercado de trabalho
dia todo,chovar haver,previsão de chuva passageiro
dia toffoli,dizer não haver,separação estanque entre estado
dia toffoli,mudar julgar,lava jato
dia toffoli,pedir,vista
dia toffoli,só tomar,decisão
dia toffoli dois último presidente de corte,elevar,tribunal
dia trás,contratar,gente
diabo,resolver vir fundar,próprio igreja
diabo,tentar arrancar,olho
diagnóstico,citar ainda,vedação de tratamento hormonal para pessoa em fase de transição de gênero
diagnóstico precoce,salvar,vida estar com câncer em estágio inicial por exemplo
diana,colocar,mão
diana,fazer,pesquisa
diana,receber,visita
dianópolis,fazer,festa
diarreia ininterrupto,acender,sinal de alerta
diego,balear,homem
diego,chegar balear,homem
diego,comprar pedir,caminhão
diego,mudar atacar,mulher
diego,não matar,jéssica
diego anderson fontouro de 29 ano,estar invadir abrir,fogo
diego anderson fontouro de 29 ano,invadir matar,gilberto mendes de 62 ano
diego luna,deixar,produtor
diego noval,ter,comportamento sexual obsessivo
dieta,afetar,crescimento de câncer
dieta,ser não ter,verdura
dieta saudável em país rico,contribuir diminuir cortar,taxa de eutrofização
diferente personalidade presente em história,fazer,parte de único ser
diferença de terremoto 7 para 8,equivaler,energia
diferença de valores,indicar,prejuízo intencional
diferença entre propostas,levar,perito de polícia federal
diferença entre índices,ter,explicação
diferença genético entre vírus,como modificar,interação com sistema imune
dificuldade,fazer abandonar,catarinense
dificuldade,fazer abandonar,desejo voltar para festival para edição seguinte
dificuldade de acesso a crédito para micro empresa,adicionalmente prejudicar,gestão financeiro de companhia
dificuldade de capitalização de caixa,limitar,medida agressivo
dificuldade de conexão,impor publicar,centena de vídeo em inglês
dificuldade metodológico,existir não haver,conclusão significativo
dificuldade obter,adiar,análise de texto
dificuldade pagar,quando alegar criar,coordenadoria pasta
dificuldade técnico,esvaziar,espaço
dig,instaurar,inquérito
dilema de geopolítica,dar,corpo
dilermando,fazer,parte de igreja ortodoxo amazônio
diligência,não evidenciar,envolvimento em episódio
diligência de pf,não ter,relação com justiça eleitoral
dilma,acusar haver,radicalização recente de golpe
dilma,atribuir,condição de prova de conspiração derrubar
dilma,chamar,lula
dilma,comandar,palácio de planalto 2011-2016
dilma,cometer,abuso de poder
dilma,comparar,momento atual de país a de golpe de 64
dilma,ficar perder,cargo
dilma,ficar perder,mandato presidencial
dilma,já definir além,maior parte de ministro de pmdb.
dilma,já divulgar,comunicado
dilma,não sancionar discutir discutir,criação de novo cartão
dilma,orientar,pagamento de propina..
dilma,reduzir depois criar,uma
dilma,renovar,concessão de hidrelétricas de energia
dilma,sancionar,lei
dilma,sancionar,novo código florestal
dilma,sempre visitar,carlo araújo
dilma,sofrer,impeachment
dilma,ter,conhecimento de uso de caixa dois em campanha a reeleição em 2014
dilma,ter,consciência era
dilma roussef,diante encarregar,ministro de secretaria geral de presidência gilberto carvalho
dilma rousseff,assumir,presidência
dilma rousseff,defender provar,inocência
dilma rousseff,sofrer,impeachment
dilma rousseff,sofrer encerrar,mandato
dilma rousseff ex presidente de república,receber,notícia de falecimento de dom paulo evaristo arns grande líder progressista incansável em defesa de direito humano
dima nachawi,criticar,forma
diminuição de número de fiscal,além também explicar,menor fiscalização
diminuição de participação de família zaher,gerar,efeito positivo
diminuição de poder geopolítico,também fazer perder dentro,influência
diminuição de predador,explicar,avanço de taturana
diminuição de resurso de pessoa físico,comprometer,projeto de atendimento
diminuição de taxa de natalidade,indicar levar,18 mês
dinheiro,beneficiar,governador geraldo alckmin psdb
dinheiro,como parar ali triturar,dinheiro
dinheiro,dar,direito a serviço completo
dinheiro,então gastar aí gastar,dinheiro
dinheiro,estar não dar,detalhe
dinheiro,faltar reconhecer,incapacidade de estado resolver
dinheiro,fazer,parte de montante de r$ 150 milhões
dinheiro,financiar,atividade físico
dinheiro,financiar,campanha políticas.
dinheiro,financiar,programa como luz para todos
dinheiro,foi pagar,despesa de campanha de tucano
dinheiro,integralmente custear,ampliação de internet fixo
dinheiro,ir abastecer,campanha político
dinheiro,ir fortalecer,empreendedorismo de cidade
dinheiro,mostrar,verdadeiro engenharia
dinheiro,não dar pagar,água
dinheiro,não resolver piorar consideravelmente,situação
dinheiro,não trazer,felicidade
dinheiro,pagar ainda,programa social
dinheiro,pertencer não citar,nome
dinheiro,pertencer providenciar,apartamento
dinheiro,também pagar,salário de funcionário de casa 6 mil entre servidor comissionado
dinheiro,também reduzir,criminalidade
dinheiro,ter,destino certo campanha de josé serra a presidência de república
dinheiro,ter,gestão de representante
dinheiro,ter,relação com construção de rodovia interoceânico
dinheiro,ter,relação com construção de rodovia interoceânico entre brasil projeto emblemático de integração regional
dinheiro de corrupção,pagar,despesa pessoal de sérgio cabral
